PlayerID,PlayerName,Team,Season,GamesPlayed,AvgMinutes,Points,Rebounds,Assists,Steals,Blocks,Turnovers,FieldGoalPct,FreeThrowPct,ThreePointPct,ThreePointersMade,ThreePointAttempts,FieldGoalsMade,FieldGoalAttempts,FreeThrowsMade,FreeThrowAttempts,TrueShootingPct,UsageRate
203501,Tim Hardaway Jr.,ATL,2016-17,79,27.3,14.5,2.8,2.3,0.7,0.2,1.3,0.455,0.766,0.357,1.9,5.3,5.3,11.5,2.1,2.7,0.568,0.218
202699,Tobias Harris,DET,2016-17,82,31.3,16.1,5.1,1.7,0.7,0.5,1.2,0.481,0.841,0.347,1.3,3.8,6.2,13.0,2.3,2.8,0.568,0.214
2754,Tony Allen,MEM,2016-17,71,27.0,9.1,5.5,1.4,1.6,0.4,1.4,0.461,0.615,0.278,0.2,0.8,3.9,8.4,1.1,1.8,0.493,0.178
2225,Tony Parker,SAS,2016-17,63,25.2,10.1,1.8,4.5,0.5,0.0,1.4,0.466,0.726,0.333,0.4,1.1,4.2,9.0,1.3,1.9,0.514,0.204
203503,Tony Snell,MIL,2016-17,80,29.2,8.5,3.1,1.2,0.7,0.2,0.7,0.455,0.81,0.406,1.8,4.4,3.1,6.8,0.6,0.7,0.603,0.121
2772,Trevor Ariza,HOU,2016-17,80,34.7,11.7,5.7,2.2,1.8,0.3,0.9,0.409,0.738,0.344,2.4,6.9,4.1,10.0,1.2,1.6,0.548,0.14
202684,Tristan Thompson,CLE,2016-17,78,30.0,8.1,9.2,1.0,0.5,1.1,0.8,0.6,0.498,0.0,0.0,0.0,3.4,5.6,1.4,2.7,0.594,0.112
201951,Ty Lawson,SAC,2016-17,69,25.1,9.9,2.6,4.8,1.1,0.1,1.9,0.454,0.797,0.288,0.5,1.7,3.4,7.6,2.5,3.1,0.551,0.19
204020,Tyler Johnson,MIA,2016-17,73,29.8,13.7,4.0,3.2,1.2,0.6,1.2,0.433,0.768,0.372,1.3,3.4,4.9,11.3,2.7,3.5,0.535,0.203
2199,Tyson Chandler,PHX,2016-17,47,27.6,8.4,11.5,0.6,0.7,0.5,1.4,0.671,0.734,0.0,0.0,0.0,3.3,4.9,1.9,2.6,0.703,0.112
203506,Victor Oladipo,OKC,2016-17,67,33.2,15.9,4.3,2.6,1.2,0.3,1.8,0.442,0.753,0.361,1.9,5.3,6.1,13.9,1.7,2.3,0.534,0.21
202083,Wesley Matthews,DAL,2016-17,73,34.2,13.5,3.5,2.9,1.1,0.2,1.4,0.393,0.816,0.363,2.4,6.6,4.6,11.6,2.0,2.5,0.533,0.193
203115,Will Barton,DEN,2016-17,60,28.4,13.7,4.3,3.4,0.8,0.5,1.6,0.443,0.753,0.37,1.5,3.9,4.9,11.1,2.4,3.2,0.547,0.207
201163,Wilson Chandler,DEN,2016-17,71,30.9,15.7,6.5,2.0,0.7,0.4,1.6,0.461,0.727,0.337,1.5,4.6,6.1,13.2,2.0,2.7,0.545,0.217
1627812,Yogi Ferrell,DAL,2016-17,46,26.0,10.0,2.4,3.7,0.9,0.2,1.5,0.406,0.831,0.386,1.5,3.8,3.5,8.6,1.6,1.9,0.533,0.192
203897,Zach LaVine,MIN,2016-17,47,37.2,18.9,3.4,3.0,0.9,0.2,1.8,0.459,0.836,0.387,2.6,6.6,6.9,15.1,2.5,3.0,0.576,0.215
